Brand,Shoe Name,Traction,Cushioning,Lockdown,Lateral Stability,Torsion Support,Weight,Durability,Ventilation,Avg,Overall Rating,Guard,Wing,Big,Outdoor,Reviews,Year of Release,MSRP,Weight per shoe (US9),Heel-to-toe Offset,Recent Release,Asia Brand?,Budget Shoe? ($100),Sizing Recommendation,Sizing Notes
NIKE,Kyrie Low 2,91,73,85,87,82,83,66,69,83,84,86,85,77,66,23,2019-,$110,370 - 380g,[4 - 6mm est.],No,Non-Asia,No,,
NIKE,Kyrie Low 3,91,76,84,83,80,85,68,81,84,84,85,85,79,69,26,2020-,$110,380 - 390g,[4 - 6mm est.],No,Non-Asia,No,,
NIKE,Kyrie Low 4,90,70,74,78,73,86,79,81,78,74,76,76,67,74,34,2021-,$115,350 - 360g,[4 - 6mm est.],No,Non-Asia,No,,
NIKE,Kyrie Low 5,89,74,83,79,69,90,73,75,82,81,83,83,73,72,23,2022-,$110,330 - 350g,[4 - 6mm est.],Yes,Non-Asia,No,Stay true to size,Very snug
NIKE,LeBron 10,88,96,93,75,92,72,78,85,93,91,85,96,92,72,15,2012-,$180,440 - 460g,,No,Non-Asia,No,,
NIKE,LeBron 11,83,96,80,79,89,72,76,70,86,84,77,87,90,65,11,2013-,$200,400 - 430g,,No,Non-Asia,No,,
NIKE,LeBron 12,78,81,87,86,90,68,87,60,82,81,75,85,86,70,12,2014-,$200,450 - 460g,,No,Non-Asia,No,,
NIKE,LeBron 13,83,88,79,88,91,76,74,70,83,84,80,85,88,64,15,2015-,$200,410 - 430g,,No,Non-Asia,No,,
NIKE,LeBron 14,76,88,75,66,84,72,61,78,80,73,64,79,80,60,19,2017-,$175,430 - 450g,[6 - 7mm est.],No,Non-Asia,No,,
NIKE,LeBron 15,75,96,87,65,86,76,66,77,86,80,72,86,87,67,23,2017-,$185,440 - 450g,8 - 10mm,No,Non-Asia,No,,
NIKE,LeBron 16,90,92,81,77,83,68,80,66,88,83,78,87,87,78,25,2018-,$185,460 - 470g,6 - 7mm,No,Non-Asia,No,,
NIKE,LeBron 17,80,92,83,73,83,59,69,58,85,77,68,81,86,71,22,2019-,$200,470 - 490g,4 - 5mm,No,Non-Asia,No,,
NIKE,LeBron 18,79,96,80,63,86,64,63,62,85,75,65,82,84,69,29,2020-,$200,490 - 500g,7 - 8mm,No,Non-Asia,No,,
NIKE,LeBron 18 Low,81,91,87,76,89,77,67,83,86,86,81,90,89,69,17,2021-,$160,420 - 430g,[7 - 8mm est.],No,Non-Asia,No,,
NIKE,Lebron 19,66,91,89,84,83,51,65,72,82,70,60,72,84,64,24,2021-,$200,540 - 570g,,No,Non-Asia,No,,
NIKE,Lebron 19 Low,76,90,83,87,91,71,71,72,83,82,75,85,90,73,8,2022-,$160,420 - 440g,9 - 10mm,Yes,Non-Asia,No,Stay true to size,Narrow midfoot; very thick footers may have to go up half size
NIKE,Lebron 20,90,91,84,79,87,83,75,73,88,88,86,91,89,67,26,2022-,$200,390 - 410g,5 - 7mm,Yes,Non-Asia,No,Stay true to size,non-EP fits snug; EP version fits loose and slightly wide.
NIKE,LeBron 9 Retro,78,87,91,86,94,76,70,55,85,87,82,90,90,61,9,2022-,$240,420 - 430g,[8 - 10mm est.],Yes,Non-Asia,No,Stay true to size?,Runs short; toebox may bunch with tight lacing; forefoot upper may chafe when bending
NIKE,LeBron Ambassador 12,86,80,79,79,88,72,84,66,81,80,76,83,82,80,7,2019-,$140,?,[7 - 8mm est.],No,Non-Asia,No,,
NIKE,LeBron Ambassador 13,89,73,87,85,79,79,85,75,83,83,84,84,77,77,15,2020-,$155,400 - 420g,7 - 8mm,No,Non-Asia,No,,
NIKE,LeBron Soldier 10,71,73,81,82,76,85,73,73,75,71,70,73,71,66,22,2016-,$130,410 - 430g,,No,Non-Asia,No,,
NIKE,LeBron Soldier 11,81,82,88,80,81,84,81,61,84,85,83,87,84,77,23,2017-,$130,?,5 - 6mm,No,Non-Asia,No,,
NIKE,LeBron Soldier 12,90,79,86,79,80,72,76,62,85,83,81,86,82,72,16,2018-,$140,?,4 - 5mm,No,Non-Asia,No,,
NIKE,LeBron Soldier 13,89,83,84,80,73,75,85,64,86,83,83,84,82,82,19,2019-,$140,420 - 430g,5 - 6mm,No,Non-Asia,No,,
NIKE,LeBron Soldier 14,76,86,79,85,89,78,88,72,80,81,75,83,86,86,21,2020-,$140,390 - 400g,6 - 7mm,No,Non-Asia,No,,
NIKE,LeBron Witness 3,85,72,81,77,73,89,81,70,79,78,80,80,70,78,11,2018-,$90,330 - 340g,6 - 7mm,No,Non-Asia,Yes,,
NIKE,LeBron Witness 4/5,78,78,80,68,82,81,70,83,79,76,71,80,76,73,20,2019-20,$100,350 - 370g,[5 - 7mm est.],No,Non-Asia,No,,
NIKE,LeBron Witness 6,79,71,78,56,76,75,87,82,76,65,62,70,61,82,20,2021-,$100,400 - 420g,,No,Non-Asia,No,,
NIKE,Mamba Focus,72,60,77,79,81,86,87,76,70,63,61,67,58,69,20,2019-,$100,330 - 350g,,No,Non-Asia,No,,
NIKE,Mamba Fury,67,55,76,79,75,83,84,71,66,53,52,57,48,62,15,2020-,$100,330 - 350g,,No,Non-Asia,No,,
NIKE,Mamba Instinct/Rage,84,70,76,72,53,97,66,71,77,68,72,69,58,63,16,2017-,$100,290 - 300g,,No,Non-Asia,No,,
NIKE,PG 1,83,75,87,78,80,84,72,75,82,82,82,85,77,72,30,2017-,$110,360 - 370g,[5 - 8mm est.],No,Non-Asia,No,,
NIKE,PG 2,82,77,86,81,73,84,67,78,82,81,82,83,77,68,26,2018-,$110,370 - 380g,7 - 8mm,No,Non-Asia,No,,
NIKE,PG 3,87,78,82,83,87,82,76,79,83,84,83,86,82,76,29,2019-,$110,360 - 370g,5 - 6mm,No,Non-Asia,No,,
NIKE,PG 4,84,82,80,66,65,80,73,68,82,76,75,78,74,78,38,2020-,$110,380 - 400g,7 - 8mm,No,Non-Asia,No,,
NIKE,PG 5,91,81,82,80,79,88,68,70,84,85,85,87,82,71,30,2021-,$110,330 - 350g,5 - 8mm,No,Non-Asia,No,,
NIKE,PG 6,89,81,83,74,80,88,70,72,84,85,84,87,81,70,32,2022-,$120,380 - 390g,6 - 7mm,Yes,Non-Asia,No,Stay true to size,"EP version fits slightly large & wide. Normal, narrow go down half size"
NIKE,Precision 4,81,69,80,78,67,95,86,79,77,75,78,76,66,81,11,2020-,$70,320 - 330g,,No,Non-Asia,Yes,,
NIKE,Precision 5,88,71,79,80,75,95,74,80,79,79,82,80,70,73,16,2021-,$70,320 - 330g,,No,Non-Asia,Yes,,
NIKE,Renew Elevate,80,81,77,77,85,85,80,83,79,79,76,82,81,82,16,2020-,$80,330 - 350g,,No,Non-Asia,Yes,Go up half size,Runs small and narrow
NIKE,Zoom Court Dragon,76,81,83,70,76,80,84,63,80,77,73,80,79,85,8,2022-,$120,390 - 400g,[6 - 8mm est.],Yes,Non-Asia,No,Stay true to size,Versatile fit that should work for most foot-types
NIKE,Zoom Evidence 2,84,76,72,61,69,92,82,85,77,70,69,74,65,81,10,2018-,$90,,5 - 6mm,No,Non-Asia,Yes,,
NIKE,Zoom Freak 1,80,74,86,83,68,89,69,76,80,80,81,82,74,69,25,2019-,$120,340 - 350g,6 - 8mm,No,Non-Asia,No,,
NIKE,Zoom Freak 2,84,75,84,80,71,83,77,66,81,80,82,81,74,75,29,2020-,$130,370 - 380g,6 - 7mm,No,Non-Asia,No,,
NIKE,Zoom Freak 3,85,79,77,67,68,84,73,78,80,75,74,78,72,74,37,2021-,$120,360 - 380g,8 - 9mm,No,Non-Asia,No,,
NIKE,Zoom Freak 4,85,81,82,76,71,89,63,87,83,82,83,84,79,64,22,2022-,$130,340 - 360g,5 - 6mm,Yes,Non-Asia,No,Stay true to size,Versatile fit for most foot types.
NIKE,Zoom GP Retro,90,78,89,90,87,72,81,56,85,86,85,88,85,70,19,2019-,$160,,9 - 10mm,No,Non-Asia,No,,
NIKE,Zoom LeBron NXXT Gen,84,86,85,85,80,89,80,82,85,88,87,89,87,73,20,2023-,$160,350 - 360g,4 - 6mm,Yes,Non-Asia,No,Stay true to size,Fits small with a snug mid-forefoot; casual users may have to go up half.
NIKE,Zoom Live 2017 & 2,78,76,83,85,77,88,78,78,79,81,79,83,78,78,15,2017-,$100,,6 - 7mm,No,Non-Asia,No,,
NIKE,Zoom Rev 17,74,75,85,79,88,83,76,75,78,78,74,82,78,76,10,2017-,$110,,,No,Non-Asia,No,,
NIKE,Zoom Rize 1,85,87,85,81,89,76,74,68,86,86,84,89,87,75,28,2019-,$140,,5 - 7mm,No,Non-Asia,No,,
NIKE,Zoom Rize 2,88,87,84,73,77,87,77,73,86,86,85,88,83,78,25,2020-,$150,,4 - 5mm,No,Non-Asia,No,,
NIKE,Zoom UNVRS,79,93,81,70,83,78,69,74,84,81,75,85,86,75,20,2019-,$160,,,No,Non-Asia,No,,
